Field #,Variable name,Description,"Used in preliminary data (Y=yes, N=no)",Field type,Criteria for inclusion in study,Missing value criteria,Discrepant values,Recoded variable name,Recoded variable values
1,RECORDNO,Oracle record number,Y,Numeric,,,,,
2,HOSPITAL,SMMIS hospital code number of birth,Y,Numeric,,,,,
3,HOSPNAME,Hospital name,N,Label,,,,,
4,YEAR,Year of record,Y,Numeric,,,,,
5,ED91,Enumeration district of residence,N,Label,,,,,
6,CRSTAIRS,Carstair's deprivation index,Y,Numeric,,,,,
7,CRSQUINT,Carstair's deprivation quintile,Y,Numeric,,Recode >5 to missing,6,,
8,MHOSPNUM,Mother's hospital number,N,Label,,,,,
9,BIRTHORD,Birth order,N,Numeric,,,,,
10,BIRTHMTH,Birth month (MM),Y,Numeric,,Recode < 1 or > 12 to missing ,99,,
11,RECSTAT,Record status,N,Label,,,,,
12,PREGOCC,Pregnancy occurrence,N,Label,,,,,
13,BOOKSTAT,Booking status,N,Label,,,,,
14,RECDAT,Date record created (DDMMYY),N,Date,,,,,
15,MDOB,Mothers date of birth (DDMMYY),Y,Date,,,,,
16,MARITAL,"Marital status (M=married, N=never married, D=divorced, S=separated, W=widowed)",Y,Label,,"Recode other than M, N, D, S, W to missing ","2, U",MARITACD,"0=M=married, 1=N=never married, 2=D=divorced, 3=S=separated, 4=W=widowed"
17,CATEGORY,"Patient category (N=normal, P=private, A=amenity, O=overseas visitor)",Y,Label,,"Recode other than N, P, A, O to missing ",M,CATEGOCD,"0=N=normal, 1=P=private, 2=A=amenity, 3=O=overseas visitor, 9=missing"
18,DISTRES,District of residence,N,Label,,,,,
19,MNHSNO,Mother's NHS number,N,Label,,,,,
20,ETHNIC,"Mother's ethnic group (pre 1995) (C=Caucasian, A=Black African, W=Black Caribbean, I=Indo-Pakistani, O=Oriental, M=Mediterranean, Z=Other) (and combinations)",Y,Label,,,,ETHNIRCD,"0=C=Caucasian, 1=A=Black African, 2=W=Black Caribbean, 3=I=Indo-Pakistani, 4=O=Oriental, 5=M=Mediterranean, 6=Z=Other, 9=missing"
21,INTERP,"Interpreter needed (Y=yes, N=no)",N,Label,,Recode W to missing,W,INTERPCD,"0=N=no, 1=Y=yes, 9=W=missing"
22,SMOKING,"Smoking habits (N=non smoker, L=light (1-9 per day), M=moderate (10-19 per day), H=heavy (20+ per day))",Y,Label,,"Recode other than N, L, M, H to missing ",,SMOKINCD,"0=N=non smoker, 1=L=light (1-9 per day), 2=M=moderate (10-19 per day), 3=H=heavy (20+ per day)"
23,HISTDIA,"History of diabetes (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ",,HISTDICD,"0=N=no, 1=Y=yes"
24,EPILEPS,"History of epilepsy (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ",,EPILEPCD,"0=N=no, 1=Y=yes"
25,HYPERTE,"Hypertension at any time (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ",,HYPERTCD,"0=N=no, 1=Y=yes"
26,BLDTRANS,"Previous blood transfusion (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ",R,BLDTRACD,"0=N=no, 1=Y=yes, 9=missing"
27,BOOKCMP,"Other booking complications (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ","E, P",BOOKCMCD,"0=N=no, 1=Y=yes, 9=missing"
